timestamp,roll,pitch,yaw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,markers,motor_input
273.5012397005768,-73.06520588302838,-5.874400880347634,-54.060596827563245,0.017737661664665266,-0.12710209908334988,-0.349092261546323,-0.09929535808521837,-0.017911476746661825,-0.0027888217984878825,nm,0.0
273.5107577005768,-73.07903751991897,-6.165176782250047,-54.041308192616064,-0.025231646989976292,-0.061851525814449526,-0.32632024074999266,-0.051785637803852966,-0.040031182398473704,0.012552466055786068,nm,0.0
273.5202637005768,-72.91528350091704,-6.378376909418483,-53.991517453194106,-0.028336385696636646,-0.05857074324636768,-0.2748158825702862,-0.018463082202592532,-0.05952602557819064,0.022527866874974725,nm,0.0
273.5297847005768,-72.63582206129873,-6.563480248759765,-53.948434645481086,-0.034315368115883794,-0.054846165747162286,-0.20987144952774997,-0.00038085273603633663,-0.07484014207421152,0.02388888874781396,nm,0.0
273.5487677005768,-71.98283321820844,-6.900691899063873,-53.947301900257,-0.013822278629171878,-0.1523543438289181,-0.06593176565939537,0.007196751242470374,-0.07801412799838582,0.01603724924601787,nm,0.0
273.5678317005768,-71.62305918699398,-7.135702720376886,-53.687966146400406,0.058427827173091244,-0.1769195246320128,0.0028650511860853567,-0.003959702777600309,-0.038361601783216265,0.04852573259983713,nm,0.0
273.59643570057676,-72.14971983870987,-6.934646332439356,-52.6483089017706,-0.10157325756581347,-0.0036324284581401183,-0.03405262935012742,-0.005447143685960435,0.038342297454731514,0.08465917390606464,nm,0.0
273.61546370057675,-72.88574877379413,-6.054547395439105,-51.940456910161366,-0.18159586897875796,0.18757394798424035,-0.07195532134680738,-0.011199640001863949,0.07029147420698673,0.06142067076753696,nm,0.0
273.6249677005768,-73.2620976707304,-5.460904151907133,-51.79565483497617,-0.163944863187937,0.23272045040822376,-0.07761748189734494,-0.006615105261919133,0.08111892334590184,0.030580714800659138,nm,0.0
273.63443770057677,-73.63116366074573,-4.847082617542136,-51.8073783014171,-0.13214294083575584,0.19679076155386818,-0.08093491402741072,0.005110755662177929,0.08977854298000977,0.0001258549505036133,nm,0.0
273.6534987005768,-74.2787460992106,-3.741113735672253,-52.121418227918134,-0.03679098820526584,0.0017228633090210113,-0.09522383136551277,0.04245724599006977,0.09364207044778383,-0.03196716166737773,nm,0.0
273.6630147005768,-74.52058414333834,-3.3135817893522184,-52.291875621249915,0.031178274854651227,-0.07085094157744774,-0.09392359869226259,0.05302163560537854,0.08986757501807525,-0.028253067439419896,nm,0.0
273.6725217005768,-74.71920947708692,-2.990871214277028,-52.410599560478445,0.07988898082896936,-0.11123214863695897,-0.09365144392968403,0.05168276486448286,0.08192725237844421,-0.017114256967386554,nm,0.0
273.6820397005768,-74.88819683086034,-2.770613155076596,-52.46873690652584,0.11078769559982383,-0.10172023646869799,-0.08881483059482281,0.038027330045696014,0.07048463520953469,-0.0044811123386901425,nm,0.0
273.7200337005768,-75.51745025208142,-2.644406381694647,-52.300292581522704,0.014939476278399184,0.007800918452595668,-0.06416475175450688,0.0,0.0,0.0,nm,0.0
273.7295487005768,-75.6369672102538,-2.661616735121569,-52.23942996917737,0.01445991878529712,0.007521541086316412,-0.06256244678300928,0.0,0.0,0.0,nm,0.0
273.73924470057676,-75.73031860641946,-2.6519224652320488,-52.1814653984913,0.016029424076114174,0.008347254667820296,-0.06983643325103155,0.0,0.0,0.0,nm,0.0
273.74860770057677,-75.87933366958947,-2.6244192662193733,-52.12464666761383,-0.00810005126573765,-0.010623999960374464,-0.07446075650559554,0.0,0.0,0.0,nm,0.0
273.7676257005768,-75.95172029647347,-2.6230104561396095,-52.04383316958193,0.011718822919230794,0.006124290225425015,-0.051926613510358655,0.0,0.0,0.0,nm,0.0
273.7771407005768,-75.89841272821997,-2.694093046680491,-52.015027005149186,0.005770240628292717,0.002989359021152405,-0.025399646652242182,0.0,0.0,0.0,nm,0.0
