timestamp,Roll,Pitch,Yaw,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Acc Magnitude,Gyro Magnitude
0.0,-8.384551086974351,40.96769229496058,-145.16292839755968,0,-0.031164146959781647,0.0512007474899292,0,0,0,,
0.009502999999995154,-8.383662241098472,40.90791518714953,-145.28171330934308,0,-0.053036004304885864,0.048570454120635986,0,0,0,,
0.018915999999990163,-8.415117675305812,40.86222259746821,-145.41295957619246,0,-0.07328911870718002,0.03737860918045044,0,0,0,,
0.02851599999996779,-8.465742102397671,40.82282098247184,-145.5302659558405,0.029909849166870117,-0.08695782721042633,0.029711544513702393,0,0,0,,
0.03803099999998949,-8.506305614329108,40.77432669061102,-145.61290296355995,0.03683304786682129,-0.09073808044195175,0.0490075945854187,0,0,0,,
0.04754099999996697,-8.532616402935528,40.731039267491596,-145.6703321463738,0,-0.0878809317946434,0.058087170124053955,0,0,0,,
0.05705000000000382,-8.542976692316486,40.7022948517341,-145.72787088663847,0,-0.08501278609037399,0.07047164440155029,0,0,0,,
0.06650999999999385,-8.446314798874264,40.73910561057385,-145.75075954270235,-0.051716625690460205,-0.0848754346370697,0.09216952323913574,0,0,0,,
0.07601699999997891,-8.33459980513938,40.817872522391944,-145.81373502563787,-0.08117544651031494,-0.08768724650144577,0.08649861812591553,0,0,0,,
0.09502199999997174,-8.021595775984125,41.1472093741563,-145.96294645214323,-0.05511957406997681,-0.10670209676027298,0.08208084106445312,0.05049464019128632,0.028378254249984136,-0.009192955602107537,,
0.10460199999999986,-7.915315952638278,41.33379741698912,-146.0365941208471,0,-0.11082126200199127,0.07157015800476074,0.05342572748471192,0.0337075038743943,0.0037304747370871163,,
0.11410100000000511,-7.736165115265014,41.50220820547431,-145.98122162617048,0,-0.1060892790555954,0.044142067432403564,0.0514272588755581,0.029044410453035407,0.023049004625573973,,
0.12361599999996997,-7.474605172330941,41.63995184010051,-145.76513442810042,0.028680920600891113,-0.08772597461938858,0,0.04503215932626591,0.01692036755750228,0.044232771882604376,,
0.13312799999999925,-7.1433033872060845,41.733927403567456,-145.3970159113182,0,-0.06116020679473877,0,0.03490658503988659,-0.000799387443661525,0.06128637068071692,,
0.1426389999999742,-6.764108728497462,41.7842691623007,-144.92733038020808,-0.02970653772354126,-0.0314839705824852,-0.03766000270843506,0.02624655440022007,-0.020650842294589397,0.06981317007977318,,
0.152150000000006,-6.3364747433237,41.78139287334234,-144.41977295151864,-0.08000797033309937,0,-0.03271639347076416,0.025047473234727783,-0.0383705972957532,0.06821439519245012,,
0.1616629999999759,-5.900936531992471,41.74590523841145,-143.9584056961828,-0.12634193897247314,0,-0.030803263187408447,0.029577335415476424,-0.04996171522884531,0.057289433462409285,,
0.1711740000000077,-5.455961447555459,41.68328006544097,-143.65978013038352,-0.1566818356513977,0.03026691824197769,-0.025512754917144775,0.043566615679553104,-0.05675650849996827,0.04116845334856853,,
0.18061699999998382,-5.01150369799994,41.447708665041816,-143.4970656428095,-0.1636623740196228,0,0,0.06515007665841428,-0.061819295643157926,0.02518070447533804,,
0.19018699999998034,-4.515380989432613,41.29837755218224,-143.31599387048647,-0.13731449842453003,0,0,0.0877993875621575,-0.06395099549292199,0.0127901990985844,,
0.1996939999999654,-4.00485418641376,41.108066515856976,-143.17088663846957,-0.10443395376205444,-0.03838449716567993,0,0.10658499248820333,-0.06661562030512708,0.005862174586851183,,
0.20921399999997448,-3.498935409420516,40.83137010187312,-143.1555516444859,-0.07026082277297974,-0.07899056375026703,0.02907276153564453,0.1183093416619057,-0.07420980101991156,0.0035972434964768626,,
0.21872300000001133,-3.024288326419094,40.47049694109182,-143.17692899178888,-0.055764198303222656,-0.12090042233467102,0.06658494472503662,0.12283920384265434,-0.08353598786262936,0.003064318534035846,,
0.22817799999995714,-2.4014199768368636,40.06572159149154,-143.10955554071302,-0.07677143812179565,-0.15995849668979645,0.10506123304367065,0.12297243508326461,-0.09312863718656766,0.0013323124061025418,,
0.23765699999995604,-1.808205575588026,39.61621467506134,-143.08165476307272,-0.11524814367294312,-0.1991947889328003,0.12634044885635376,0.12217304763960307,-0.10178866782623418,-0.004130168458917879,,
0.24717299999997522,-1.243912079079622,39.16204831225143,-143.11479714473916,-0.15431517362594604,-0.23033836483955383,0.15648746490478516,0.12417151624875687,-0.10245482402928546,-0.012656967857974145,,
0.2566749999999729,-0.6933539222892893,38.749411564187824,-143.3094845465996,-0.1745564341545105,-0.2638416290283203,0.13914412260055542,0.12843491594828502,-0.09406125587083942,-0.020384379813368887,,
0.26618799999999965,-0.10854273324085785,38.3840229079161,-143.4996347429258,-0.14050328731536865,-0.29521888494491577,0.12315517663955688,0.13616232790367974,-0.08473506902812164,-0.02078407353519965,,
0.2757129999999961,0.5701379099717367,38.05648107280505,-143.57314996266396,-0.06325525045394897,-0.3162519037723541,0.07134252786636353,0.14482235854334627,-0.0772741195539474,-0.0073277182335639785,,
0.2852189999999837,1.4024728061129668,37.72847589396679,-143.44000744453535,0.03275430202484131,-0.3263119161128998,0.039719223976135254,0.15228330801752052,-0.07687442583211664,0.02344869834740473,,
0.29473899999999276,2.4509425571160017,37.32991359432361,-143.0271263304231,0.11385694146156311,-0.3390074372291565,-0.029665350914001465,0.16107656989779726,-0.08899846872764977,0.07021286380160395,,
0.3042509999999652,3.8180529347182692,36.79867363371264,-142.28981564721977,0.13183319568634033,-0.34685760736465454,-0.09910953044891357,0.18519142444825326,-0.11098162342834171,0.1269693723015722,,
0.3138179999999693,5.059698366990433,36.02335380813597,-141.51495951346152,0.10532563924789429,-0.32021641731262207,0,0.21583460978861177,-0.13403062805391566,0.18266003087665844,,
0.3232519999999681,7.084906936839218,35.23353900015683,-140.1943464236685,0.13535556197166443,-0.39379972219467163,-0.17415672540664673,0.2508744260691086,-0.1450888210245668,0.23581929588014985,,
0.3328409999999735,9.003596243972439,34.15300567704748,-138.9562517952603,0.25575563311576843,-0.4733172655105591,0.0723382830619812,0.3305467079540406,-0.13642879038490024,0.29830474772635907,,
0.34235100000000784,11.24406533237714,33.15691332873621,-137.49733605206487,0.27690649032592773,-0.7003017663955688,-0.11808538436889648,0.42980398220868,-0.11750995421824419,0.37957580449861406,,
0.35179399999998395,15.485533056292141,31.9982137118889,-134.97345246578868,0.2174069583415985,-0.8723219633102417,0.16683149337768555,0.5744931095114159,-0.1354961717006285,0.4773675351065407,,
0.3612759999999753,19.947767949345092,30.60224139333407,-132.12980565156207,0.2695421576499939,0.054997026920318604,2.3832285404205322,0.5907473208658669,-0.12297243508326461,0.5649004601874776,,
0.37080099999997174,20.089302818353115,29.980724668828405,-129.04971127631222,0.7059622406959534,0.15140312910079956,2.0657644271850586,-0.3003032163355129,0.06808116395183987,0.577157734323621,,
0.38031100000000606,18.521435411620388,29.903363398364746,-125.74443443617857,0.7299240827560425,-0.6967875957489014,0.4388349652290344,-0.6681546716604246,0.18106125598933542,0.591813170790749,,
0.3898299999999608,18.432087974171306,29.760274084327055,-122.51594552538775,1.1693973541259766,0.5463056564331055,0.7197793126106262,-0.3589249622040247,0.1534823891830128,0.5794226654139953,,
0.3991629999999873,16.88391129496557,30.606293294609273,-119.43454568765168,1.7372629642486572,0.3524358868598938,0.11952853202819824,-0.6345803990266407,0.3226860647580356,0.4866937219492585,,
0.4087409999999636,15.971456445708991,32.10295342522185,-116.44038007358402,1.8335044384002686,0.13996531069278717,-1.5944054126739502,-0.5130735075900887,0.4323353757802747,0.4411286376605515,,
0.4181759999999599,16.01405958678373,32.83730352599434,-113.4978357900833,1.8472472429275513,0.8900946974754333,-0.44276759028434753,-0.32601684577329193,0.2775206741911594,0.4701730481135869,,
0.4277139999999804,15.031034695975812,33.10482171617367,-110.25492582031202,1.2106648683547974,0.5781727433204651,-0.5388436913490295,-0.5803552840982672,0.20104594208087356,0.5605038292473392,,
0.43739199999998846,14.526322490559796,33.45759196063042,-106.016434241057,-0.3665271997451782,0.39827606081962585,-0.03188657760620117,-0.5998070452273643,0.2531393571594829,0.7217136303857468,,
0.44689399999998614,14.56281042348158,33.74558415983555,-100.88003866912028,-1.9202802181243896,1.3673853874206543,1.3734519481658936,-0.5966094954527181,0.27498928061956457,0.8701332324255701,,
0.4563999999999737,12.346121743010714,34.652177324293085,-95.5208131209997,-2.750943183898926,1.7709678411483765,2.3367486000061035,-1.0879663108233355,0.38783614141644984,0.8847886688926978,,
0.46590799999995625,8.57858710075753,36.8521525636353,-90.73033658036167,-3.449583053588867,1.1657757759094238,0.6057352423667908,-1.3640214413677823,0.577157734323621,0.7578192965911257,,
0.47542699999996785,5.0244763252228495,38.36727366089322,-88.01902784962468,-2.926236391067505,1.8725894689559937,1.9847779273986816,-1.0962266477411713,0.34986523784252743,0.4637779485642947,,
0.4849350000000072,-1.158808215798497,40.407962822829745,-88.6335844416437,-1.4259226322174072,2.1860246658325195,0.9592328667640686,-1.2130704457563644,0.39622970957489584,-0.040901990867348026,,
