,Bounce,Drop,Idle,Kick,Lift,Roll,Shake,Spin,Tap
Bounce,5,0,0,0,0,0,0,0,1
Drop,2,5,0,0,0,0,0,0,1
Idle,0,1,57,0,0,0,0,0,0
Kick,0,0,0,8,0,1,0,0,0
Lift,0,0,0,0,3,0,0,0,0
Roll,0,0,0,2,0,11,0,0,0
Shake,0,0,1,0,0,0,36,0,0
Spin,0,0,0,0,0,0,0,13,0
Tap,0,0,0,0,0,0,0,0,43
