timestamp,roll,pitch,yaw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_magnitude,gyro_magnitude,class
0.007090000000005148,-12.37367115577893,15.186044803166412,179.63780768217978,0.1068024208275305,0.0590264904025167,0.0905384682006528,0.0,0.0,0.0,0.15194768141692697,0.0,Idle
0.0165890000000104,-12.517187334275471,15.222464427144391,179.41534015950836,0.0626565010730101,0.084048676150503,0.0773695075625152,0.0,0.0,0.0,0.13029220156951202,0.0,Idle
0.026110999999957585,-12.712173466153896,15.179943615764108,179.2384361591106,-0.0053863927164043,0.1177592431153999,0.0256197499551357,0.0,0.0,0.0,0.12063425779342643,0.0,Idle
0.03562099999999191,-12.88924612498836,15.159198068739736,179.15838709638498,-0.0570242402781467,0.0991574750241997,0.040411917218264,0.0,0.0,0.0,0.12131402180181158,0.0,Idle
0.045125999999982014,-13.073952021239366,15.12902762512615,179.20692628868676,-0.0709630919989458,0.0789413393163782,0.0281700539207388,0.0,0.0,0.0,0.10982280007817928,0.0,Idle
0.05463299999996707,-13.22123278837635,15.010920392175024,179.39033386087982,-0.1055797640159952,0.0377645820864757,0.0270839585959888,0.0,0.0,0.0,0.11535506509498675,0.0,Idle
0.06414799999998877,-13.310950778099617,14.89097210710322,179.67153149315376,-0.1004310675156114,-0.0243565211111019,0.0823731349316256,0.0189135041953329,0.0169417528002078,0.0567775476822336,0.13215510887371945,0.0621967326288008,Idle
0.07361499999996113,-13.39873414136592,14.83624753113176,179.98773649236617,0.0019224542318047,-0.0316293758273383,-0.0072831605193809,0.0188283323512519,0.0249609685878949,0.063702253069848,0.03251396119594573,0.07096149024752817,Idle
0.08313399999997273,-13.372947865372204,14.751242968992155,-179.69656198195366,0.0455447145756645,-0.0531092171418707,-0.0548033570884758,0.0026202751140669,0.0412733596396545,0.0577639974868765,0.08887248122657604,0.07104249054813278,Idle
0.09268099999997048,-13.28761571134696,14.709701953776465,-179.45618766265582,0.0650272198180593,-0.0686910935732361,-0.0279627592824516,-0.0057946299337462,0.0365627589196526,0.0396387191225923,0.09863529571224296,0.05423689822957677,Idle
0.10218799999995554,-13.217256121788257,14.755895127970623,-179.32896131184782,0.0897874926126285,-0.0355951086780057,-0.0395558887744047,0.0,0.0,0.0,0.10437180619398578,0.0,Idle
0.11166199999996707,-13.092635312073645,14.689169937424342,-179.26029909357374,-0.0045579051662076,-0.0363000710715766,0.0191733242973114,0.0,0.0,0.0,0.04130479420013525,0.0,Idle
0.12117399999999634,-12.998602210285668,14.532222055633046,-179.20789601359138,-0.0733638286843828,-0.0010143065362702,-0.0190190179536633,0.0,0.0,0.0,0.0757957994937896,0.0,Idle
0.13067999999998392,-12.910875029370604,14.375796312786782,-179.10809169493552,-0.0977940643539661,-0.0015224574134941,-0.0250682550957964,0.0,0.0,0.0,0.10096739232540122,0.0,Idle
0.14019400000000815,-12.789709804576749,14.188990541890796,-178.8989958145519,-0.1100883685427689,-0.0122921727595864,0.0183424337625175,-0.030928322062656,0.0262601784317664,0.0317122941906912,0.11228085890254122,0.051495899639840546,Idle
0.14970599999998058,-12.670401479465507,14.005161686228243,-178.58548760008438,-0.1031526613043558,0.0102219222195792,0.0402982284930724,-0.0311559555213018,0.027722045894669,0.0527644003507106,0.11121558545327243,0.06725538890974864,Idle
0.15921900000000733,-12.523920599025828,13.94550707966428,-178.21271487936008,-0.0077008129026718,-0.0075555720771846,0.03194579398219,-0.0349693766738909,0.0179559361587325,0.0633164047913833,0.033718287944793625,0.07452677414193673,Idle
0.1687729999999874,-12.379377131973856,14.002903601994923,-177.84092203912562,0.0657848230414397,0.0024801448059241,0.0164171945504217,-0.0357506523444814,0.0163613167321488,0.0631478608181536,0.0678477585315704,0.07438719079367472,Idle
0.17827699999998003,-12.231406381878676,14.063621444413116,-177.5318587517949,0.0993143065377024,-0.0022818135443101,0.0560108648207007,-0.0340019093911336,0.0207148028550096,0.0503515282989088,0.11404277764978597,0.0641911933336699,Idle
0.187787999999955,-12.13516330412875,14.20930421723994,-177.36254723142798,0.1218618261998669,0.0056135377084323,0.030889560745997,0.0,0.0,0.0,0.12584109604358665,0.0,Idle
0.19729999999998427,-12.08140946011512,14.425306223161344,-177.35396131617955,0.1265005649696474,0.0388201883330927,0.0402454864877162,0.0,0.0,0.0,0.13830798654629353,0.0,Idle
