,Bounce,Drop,Idle,Kick,Lift,Roll,Shake,Spin,Tap
Bounce,5,0,0,0,0,0,1,0,0
Drop,1,7,0,0,0,0,0,0,0
Idle,0,0,56,0,2,0,0,0,0
Kick,1,0,0,6,0,2,0,0,0
Lift,0,0,1,0,10,0,0,0,0
Roll,0,0,0,2,0,11,0,0,0
Shake,0,0,0,0,1,0,41,0,0
Spin,0,0,0,0,0,0,0,12,1
Tap,0,0,1,0,1,0,0,0,42
