timestamp,roll,pitch,yaw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_mag,gyro_mag,markers
0.0,-61.86055000708105,55.38862373498286,-158.82074830757298,0.069770345407433,0.1792404982133528,-0.0895913718630318,0.0,0.0,0.0,,,none
0.0095469999999977,-62.29551894766298,55.53963010727925,-159.1784930087628,0.0685842519937914,0.1913972994932589,-0.0906820061400863,0.0,0.0,0.0,,,none
0.0190289999999961,-62.62101538380297,55.75638564254309,-159.39896630405784,0.0926973960428251,0.2031592569985693,-0.0599019509078878,0.0,0.0,0.0,,,none
0.0380869999999973,-63.06490024681703,56.29755709659418,-159.59699959657092,0.1747171968368934,0.2073910337192192,0.0623461708392524,0.0,0.0,0.0,,,none
0.0475419999999999,-63.12235940970975,56.30280305864951,-159.5652949443685,0.2016338845204235,0.2059519171658076,0.0976787325869497,0.0,0.0,0.0,,,none
0.0570519999999987,-63.30547709678948,56.27621478566896,-159.6566399909991,0.2034147194432878,0.1992431192735705,0.0940700478905948,0.0,0.0,0.0,,,none
0.0666179999999982,-63.78887837412828,56.47071382572128,-160.01761687632325,0.1804995970254597,0.1813717929714474,0.0556750994199072,0.0,0.0,0.0,,,none
0.0761299999999991,-64.30754184265756,56.644420351338304,-160.41330427728255,0.1510960677248663,0.164885458069431,-0.0019438436023436,0.0,0.0,0.0,,,none
0.0856509999999985,-64.7835882241123,56.81978292381946,-160.76023337341925,0.1256832808493401,0.1536787410153036,-0.0550805634195974,0.0,0.0,0.0,,,none
0.0951069999999987,-65.12261897484214,57.02689444054898,-160.9730923748587,0.1109694862752034,0.1395825561646883,-0.0975785696574254,0.0,0.0,0.0,,,none
0.1046210000000016,-65.2739471398814,57.28636966453809,-161.0037301485309,0.1395208597615673,0.1365504087594196,-0.0759784265249261,0.0,0.0,0.0,,,none
0.1141610000000028,-65.26203558679532,57.59223354682661,-160.8839660673816,0.1708082814184036,0.1357491070584274,-0.0411145055485892,0.0,0.0,0.0,,,none
0.1236409999999992,-65.15514706281843,57.92460523139349,-160.7003877866621,0.2084845075369784,0.1343735494274657,0.003252552281671,0.0,0.0,0.0,,,none
0.1331039999999959,-65.06310443371628,58.24374399047383,-160.56491456313236,0.2323496491844119,0.1399489515609869,0.0430613309235137,0.0,0.0,0.0,,,none
0.1426790000000011,-65.02844303228875,58.509755153371614,-160.4456940376865,0.2350556339538834,0.1381672068510568,0.0595069314028036,0.0,0.0,0.0,,,none
0.1522140000000007,-65.07246503114476,58.69498359862308,-160.43034572591085,0.2082146690434225,0.1305068146952686,0.050655331177506,0.0,0.0,0.0,,,none
0.1617189999999979,-65.17664301641926,58.80911649835159,-160.57672319369965,0.1699994142425246,0.1276136722424337,0.0301338252614505,0.0,0.0,0.0,,,none
0.1712279999999992,-65.2441842971667,58.86946076886063,-160.67699750376187,0.1257889073400519,0.1094690350233793,0.0112645794195137,0.0,0.0,0.0,,,none
0.1806979999999995,-65.23177192207604,58.929351248616925,-160.69374524598268,0.0958010670044893,0.0969437024489878,0.0052791231421561,0.0,0.0,0.0,,,none
0.1902260000000026,-65.13660639607077,59.04299999033015,-160.607101301605,0.0894185128648358,0.093601254065435,0.0216349278478576,0.0,0.0,0.0,,,none
0.1997309999999998,-64.97688952965431,59.22986766284611,-160.41771361723727,0.1010921806762023,0.0951815299034505,0.0516636193327243,0.0,0.0,0.0,,,none
0.2092359999999971,-64.80671912749692,59.48172569140857,-160.17654390257474,0.1210524569062606,0.1007803384057807,0.0802126395350335,0.0,0.0,0.0,,,none
0.2187289999999961,-64.6004473519468,59.597557379779495,-159.92725168920535,0.1413272689443834,0.1093521922410614,0.0981596240458015,0.0,0.0,0.0,,,none
0.2282289999999989,-64.51146953709781,59.69029488104794,-159.81951587059345,0.1514784908671715,0.1164967435781529,0.0920202303331901,0.0,0.0,0.0,,,none
0.2377699999999976,-64.65851734110593,59.90993948047094,-159.92693656143013,0.1411205924557599,0.1136823483158741,0.0638316035738452,0.0,0.0,0.0,,,none
0.2472750000000019,-64.89576511443993,60.05896619745194,-160.12247006246187,0.1172504818304235,0.1058035102527079,0.0217966244267983,0.0,0.0,0.0,,,none
0.2567790000000016,-65.15684337432815,60.155210609339385,-160.34223223186692,0.0925800943404909,0.0976537843099432,-0.0190460688138026,0.0,0.0,0.0,,,none
0.2663420000000016,-65.38035903812215,60.23757134179353,-160.51860012274454,0.0718731315729293,0.0915141073843432,-0.0561990260958313,0.0,0.0,0.0,,,none
0.2758079999999978,-65.5202932232606,60.347468238863904,-160.6048131241864,0.0739006351427944,0.0939228722198869,-0.0574398418463196,0.0,0.0,0.0,,,none
0.2853080000000005,-65.55716721446174,60.50964191379813,-160.58530291667313,0.0797223458351939,0.0950677677592824,-0.0603951230589718,0.0,0.0,0.0,,,none
0.2948689999999985,-65.51957090310235,60.715465842314806,-160.49859409067827,0.111093484132609,0.0999180287188064,-0.01215856619031,0.0,0.0,0.0,,,none
0.3043819999999968,-65.47608096567235,60.93665702118145,-160.41974231071686,0.1293177294336907,0.1052818583410082,0.0225591097101138,0.0,0.0,0.0,,,none
0.3138879999999986,-65.47988801198969,61.13554038901938,-160.4023160492754,0.1335407175223643,0.1050784973883182,0.042658548476133,0.0,0.0,0.0,,,none
0.3234039999999964,-65.5672240288283,61.28502811497095,-160.4789152224546,0.1172467369355288,0.0973711060216459,0.0375378076005328,0.0,0.0,0.0,,,none
0.3329140000000024,-65.77620532817805,61.390338114862935,-160.67102131884133,0.0893455909135878,0.0943110259476055,0.008132247158727,0.0,0.0,0.0,,,none
0.3423669999999958,-66.07870405929671,61.469851930770425,-160.9353756792317,0.054707774212757,0.0896305700441754,-0.0440256551120706,0.0,0.0,0.0,,,none
0.3519339999999999,-66.40201718462455,61.54833377876616,-161.18698311896824,0.0418802000344179,0.0918289342091334,-0.0715022361525824,0.0,0.0,0.0,,,none
0.3614340000000027,-66.6832976747868,61.653265094262686,-161.3003062749809,0.0392873172926912,0.0974229346259034,-0.0993056108982411,0.0,0.0,0.0,,,none
0.370948999999996,-66.8623173686299,61.80140359879865,-161.29158228006332,0.0609960289870621,0.1012292979845437,-0.0987767503535884,0.0,0.0,0.0,,,none
0.3804159999999967,-66.95713314499473,61.98360494319535,-161.18489428880576,0.0976668641003995,0.1141070481462369,-0.0687704811477198,0.0,0.0,0.0,,,none
0.3899260000000026,-66.98086191504301,62.17065995660513,-161.02466890765052,0.1321354515164013,0.1199210273333866,-0.0334121975199593,0.0,0.0,0.0,,,none
0.3994929999999996,-66.98607339204946,62.331396470602606,-160.781253175075,0.157054655930676,0.1246274483960258,0.0035598798463176,0.0,0.0,0.0,,,none
0.4089979999999968,-67.01616798328187,62.452923924645056,-160.51867387198592,0.163517963768078,0.1224917019403282,0.0252034749020683,0.0,0.0,0.0,,,none
0.4185039999999986,-67.0971638082791,62.54364374771566,-160.43093018742962,0.1505509608268887,0.1136412114374236,0.02343382268631,0.0,0.0,0.0,,,none
