timestamp,roll,pitch,yaw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,motor_input,markers
0.0,0.5945161205324794,1.3051230705868702,-98.83654835222802,-0.000412456771617673,-0.0006271980600231379,0.02998396008884512,0.0,0.0,0.0,0.0,nm
0.02883300000000588,0.5961934249342401,1.3015856733540188,-98.83626128492858,-0.00041638161586545695,-0.0006302990522750853,0.030226806197100907,0.0,0.0,0.0,0.0,nm
0.04756600000000333,0.5963870792499215,1.3028863207785923,-98.83650239709485,-0.00041323676748066885,-0.0006258798824122335,0.029983440283926886,0.0,0.0,0.0,0.0,nm
0.05736000000000274,0.5961888142013976,1.3007719747895246,-98.83662329244753,-0.0004129532612185905,-0.0006247830271406534,0.029982572717264486,0.0,0.0,0.0,0.0,nm
0.06685099999999977,0.5975528748223821,1.299167085781316,-98.83605728462925,-0.0004337025119660584,-0.0006542896275777886,0.03144566099700434,0.0,0.0,0.0,0.0,nm
0.07627700000000459,0.5964406407706365,1.2980923743758581,-98.83620129052758,-0.00041284873912705747,-0.0006233579112674581,0.029981530602495424,0.0,0.0,0.0,0.0,nm
0.08579399999999282,0.5961670041908007,1.2998537716324576,-98.83633158791615,-0.00040950090026447124,-0.0006192251021394522,0.02973828081107393,0.0,0.0,0.0,0.0,nm
0.09539499999999634,0.5970336641161214,1.2980359351587423,-98.8364389449264,-0.0004165167646735779,-0.0006283530694248453,0.03022559276389919,0.0,0.0,0.0,0.0,nm
0.10481799999999453,0.5967108098869293,1.2993342578628655,-98.83590478740548,-0.0004399786114820132,-0.0006646041457262569,0.03193343544268368,0.0,0.0,0.0,0.0,nm
0.11434400000000267,0.5957658599738863,1.2997619239927172,-98.83542910233348,-0.00042270412072699333,-0.0006395294425318496,0.030713827480509995,0.0,0.0,0.0,0.0,nm
0.12393600000000049,0.5977622798992919,1.297363216990733,-98.83555630905965,-0.0004168308251337699,-0.0006279471941408022,0.030225477623009245,0.0,0.0,0.0,0.0,nm
0.13344899999999882,0.5995483836093282,1.2946419369526674,-98.83568385521274,-0.0004107932322784192,-0.0006162570362038024,0.029736893686694077,0.0,0.0,0.0,0.0,nm
0.14267300000000205,0.5992268346145381,1.2949575195733323,-98.8358240816302,-0.0004140237539064799,-0.0006215005337032215,0.029980837481747572,0.0,0.0,0.0,0.0,nm
0.16188999999999965,0.6010539260448342,1.2936516425019675,-98.8360547967421,-0.000418239382702972,-0.0006257231112618316,0.030224609942795234,0.0,0.0,0.0,0.0,nm
0.1711959999999948,0.6013794525250614,1.2933191868280336,-98.83617765529523,-0.00041838268037097263,-0.0006255212610017719,0.030224552514545137,0.0,0.0,0.0,0.0,nm
0.1809080000000023,0.6009348017429226,1.291945779325471,-98.83630465904275,-0.00040791053752974586,-0.0006096987345026746,0.02949213756785995,0.0,0.0,0.0,0.0,nm
0.19050699999999665,0.6016362754303721,1.2937346322598566,-98.83639946423143,-0.00040842058343349547,-0.0006105683874342593,0.02949288761821922,0.0,0.0,0.0,0.0,nm
0.2000189999999975,0.6023169184939238,1.2928020392375776,-98.83650386432593,-0.00040869092660108304,-0.0006100344441780054,0.029492656429757992,0.0,0.0,0.0,0.0,nm
0.20952799999999172,0.6027256005433957,1.2930137911907753,-98.83658716436727,-0.00040553663550420174,-0.0006050664162972548,0.029248884734110043,0.0,0.0,0.0,0.0,nm
0.21895100000000411,0.6023251192571408,1.2940913694719942,-98.83670283122721,-0.0004290930220922179,-0.000641004318583609,0.030956732680609823,0.0,0.0,0.0,0.0,nm
0.22847199999999646,0.6003511061428913,1.295090415256708,-98.83682688455573,-0.00040450893734051953,-0.0006063061851347842,0.029249231030855555,0.0,0.0,0.0,0.0,nm
0.2475769999999926,0.6028819806033041,1.2922129130531526,-98.8369699089126,-0.00042584671235034144,-0.0006348978524486972,0.030712210712942865,0.0,0.0,0.0,0.0,nm
0.2569960000000009,0.6034913759673546,1.293547798706842,-98.83704105131201,-0.0004161324146730625,-0.0006204243507882267,0.02998106907026374,0.0,0.0,0.0,0.0,nm
0.2665089999999992,0.6036448537998967,1.292291457643422,-98.8371037119568,-0.0003957927983559671,-0.0005894990331526353,0.028517110270356718,0.0,0.0,0.0,0.0,nm
0.2856259999999935,0.6046446804881234,1.2926914321583363,-98.83721802878213,-0.0003963197008427342,-0.0005896232961008318,0.02851733887608546,0.0,0.0,0.0,0.0,nm
0.2951309999999978,0.6033043494650859,1.2935065571727486,-98.83730434442774,-0.0004228038447510657,-0.0006305099380725441,0.03046884283304027,0.0,0.0,0.0,0.0,nm
0.30464399999999614,0.6024786311625651,1.2931965586633207,-98.83738092121524,-0.0004324856445126783,-0.0006455499331162594,0.031200390570701918,0.0,0.0,0.0,0.0,nm
0.3140649999999994,0.6011805195294496,1.2933509101950096,-98.83747189796134,-0.0004250462383062927,-0.0006356397125913164,0.030712325702830567,0.0,0.0,0.0,0.0,nm
0.32367700000000355,0.601813435927672,1.2954994138908253,-98.83751742113255,-0.0004323317392954235,-0.0006468586072454601,0.03120108107726666,0.0,0.0,0.0,0.0,nm
0.3331790000000012,0.6001970839195553,1.2966165157965988,-98.8375977595249,-0.0004248103937571351,-0.0006374718565922166,0.03071336420944596,0.0,0.0,0.0,0.0,nm
0.342685000000003,0.5997521712937588,1.2977862922810697,-98.83765211814834,-0.0004179321751865013,-0.0006280008242804503,0.030225938285942184,0.0,0.0,0.0,0.0,nm
0.3616209999999995,0.5970275135994212,1.2975076436836672,-98.83779805875419,-0.0004198421027675114,-0.0006331299065404089,0.030469187197785942,0.0,0.0,0.0,0.0,nm
0.3807379999999938,0.5940172162528686,1.295489891846242,-98.83792502433505,-0.00041807847934482973,-0.0006322878835568852,0.03046791722522689,0.0,0.0,0.0,0.0,nm
0.3994689999999963,0.5920388455982841,1.2957409822559804,-98.83803210040757,-0.0004304141725368791,-0.0006528354256785315,0.0314434707253905,0.0,0.0,0.0,0.0,nm
0.4092689999999948,0.59339980265971,1.2941513887823162,-98.83804365632983,-0.00042432565994683115,-0.0006417364263978636,0.030955233026855974,0.0,0.0,0.0,0.0,nm
0.41867999999999483,0.5944565090810382,1.2952521496572178,-98.8386977174908,-0.0004216468093747277,-0.0006371813045699105,0.03071180400928492,0.0,0.0,0.0,0.0,nm
0.42829799999999807,0.596829609498318,1.2942058218634505,-98.83864494365936,-0.00042953418166445493,-0.0006465421420187538,0.031199695320855647,0.0,0.0,0.0,0.0,nm
0.4378030000000024,0.5980829761842712,1.2939503081451296,-98.83797454127438,-0.00040327496352404025,-0.0006058826702443206,0.029248362499861215,0.0,0.0,0.0,0.0,nm
