acc_z_mean,acc_z_var,acc_z_max,acc_z_min,acc_z_ZCR,acc_z_MCR,gyro_z_mean,gyro_z_var,gyro_z_max,gyro_z_min,gyro_z_ZCR,gyro_z_MCR,motor_input_mean,motor_input_var,motor_input_max,motor_input_min,motor_input_ZCR,motor_input_MCR,acc_xyz_mean,acc_xyz_var,acc_xyz_max,acc_xyz_min,acc_xyz_ZCR,acc_xyz_MCR,acc_xy_mean,acc_xy_var,acc_xy_max,acc_xy_min,acc_xy_ZCR,acc_xy_MCR,gyro_xy_mean,gyro_xy_var,gyro_xy_max,gyro_xy_min,gyro_xy_ZCR,gyro_xy_MCR,gyro_xyz_mean,gyro_xyz_var,gyro_xyz_max,gyro_xyz_min,gyro_xyz_ZCR,gyro_xyz_MCR,acc_z_spectral_centroid,acc_z_spectral_var,acc_z_dominant_freq,gyro_z_spectral_centroid,gyro_z_spectral_var,gyro_z_dominant_freq,motor_input_spectral_centroid,motor_input_spectral_var,motor_input_dominant_freq,acc_xyz_spectral_centroid,acc_xyz_spectral_var,acc_xyz_dominant_freq,acc_xy_spectral_centroid,acc_xy_spectral_var,acc_xy_dominant_freq,gyro_xy_spectral_centroid,gyro_xy_spectral_var,gyro_xy_dominant_freq,gyro_xyz_spectral_centroid,gyro_xyz_spectral_var,gyro_xyz_dominant_freq,class,group
-0.456257273516392,6.477124426999029,7.276399537037542,-7.115284427178519,22,2.3056829254632096,0.0001278465677789,0.0901927101051014,1.152116954001289,-1.0946710232057044,21,0.2029341782772446,0.0,0.0,0.0,0.0,0,0.0,2.7808898457023505,5.748871050353564,8.523608130767226,0.3237266664286049,0,1.488570097480138,1.8023327067278927,3.5485210719072766,8.359461171676577,0.0496741458168721,0,1.1164881461974483,0.8507776065050575,0.7348493878617641,4.305782918005964,0.0536909904515071,0,0.5426446080230586,0.912968423959822,0.7153533068944031,4.328777291389567,0.110912747254942,0,0.505535958490915,34.13512696256414,376.2326100291304,20,34.99791023089744,468.9233796496462,10,0.0,0.0,0,34.397900425095585,344.89822034594306,30,34.71446921848677,302.34782026541745,30,34.28967214022636,539.2224677159966,1,34.32652782916455,533.2063475339567,1,Bounce,Bounce-1-29may
-0.139098035386452,3.67581908465138,8.159344075491578,-3.86956479652986,27,1.646967299622937,-0.0110528097951713,0.0970184959349331,0.5739320782158802,-0.8175940361840143,22,0.2361064525329818,0.0,0.0,0.0,0.0,0,0.0,2.3347042636393307,3.161536219460083,8.876421852387173,0.2763179831442018,0,1.193563213809136,1.668099943027343,2.134655450088176,8.848117582787483,0.0968972336189239,0,1.074303886359255,0.5557746836909059,0.1603278649805576,2.435679637338446,0.0160453724180343,0,0.3142515223026958,0.6465697804963937,0.1483015435004307,2.528268649917394,0.1190742986072904,0,0.2993324906447697,36.15614698897094,466.96522848917385,10,36.31021784222303,594.7124313228653,8,0.0,0.0,0,36.278357266010126,441.8868399855041,10,36.41197876966336,419.8894227935506,8,35.988283414316065,543.8371967096322,1,36.03873005586082,556.390874481512,1,Bounce,Bounce-1-29may
-0.7505949884454133,4.742679010642552,6.69511329751771,-7.207424272754438,24,1.8982119880422248,-0.0054124804958998,0.1216923653352656,1.0241955238952312,-1.807619207055352,24,0.2308152077790052,0.0,0.0,0.0,0.0,0,0.0,2.502934836597552,4.054105192934228,7.8479808532738815,0.4405843365196112,0,1.03549560163554,1.5625403459882077,2.571183809024972,5.965269908512223,0.051771803495581,0,0.6986844192142727,0.6078347528581967,0.240299778819439,2.220692725951981,0.0666374660199753,0,0.2960031593796863,0.6666967026241334,0.287000032592116,2.3921991957645874,0.0672939113288573,0,0.2899109833091097,35.93754085513208,497.7483003854784,0,37.42179244172285,573.6122791260294,69,0.0,0.0,0,36.41599355969886,424.1315223862621,0,37.15931515634613,329.1102719955832,24,37.35076581745611,538.5037157819581,1,37.36247258904712,549.7572268529792,1,Bounce,Bounce-1-29may
-0.3023548589804743,4.2818597806866,6.69511329751771,-7.207424272754438,27,1.7323437574339495,-0.0034350568842548,0.10363159718088,0.5740989581199246,-1.807619207055352,24,0.2060876781843457,0.0,0.0,0.0,0.0,0,0.0,2.17012833648008,3.4672601819830726,7.8479808532738815,0.1233285700314472,0,1.1257707359716835,1.3976743210360445,1.849945429657602,5.965269908512223,0.0789280476380047,0,0.832432559712074,0.5259756022027776,0.155791116344753,2.220692725951981,0.0417583892514732,0,0.2199533615107062,0.5878991112133514,0.1904594822885572,2.3843669000649603,0.1021616075750958,0,0.2036752597801877,36.781836869682245,557.8671152658109,9,37.44730184147289,593.5906495714182,68,0.0,0.0,0,36.91751512590344,484.65373509713663,55,37.01615412422125,402.8224845601656,55,36.71910551778095,609.1621943222476,1,36.81518684386033,611.8554942059518,74,Bounce,Bounce-1-29may
-0.8227969510924746,3.683359961216044,6.638643184339935,-6.415311711178781,22,1.5479804251770322,0.0181488101580607,0.0337617602957544,0.5134458918335488,-0.4753027857793817,23,0.1256055619526934,0.0,0.0,0.0,0.0,0,0.0,2.0204889702879667,2.8611528253934093,7.3619483729113,0.0856087439387249,0,1.051750460446402,1.1233866669696395,1.3211761169804666,6.589619593264838,0.0,0,0.9380376366042924,0.8572815944799405,0.1558614114673962,2.1650968121920764,0.0480164262208518,0,0.3631183630485262,0.8777238145578138,0.1544851886654536,2.189414949305621,0.1394837556959211,0,0.3539407869790513,31.72427976071986,400.28253802041735,0,33.03793962968884,502.3428550415529,4,0.0,0.0,0,32.13953303531655,371.2557217005772,0,33.39298793722438,311.34069895522936,23,31.291394414514052,553.9852299013838,1,31.372441693339603,553.2945116835168,1,Bounce,Bounce-1-29may
-0.9469401278033548,5.4707999531262805,6.273018131293324,-8.078718538290103,22,1.902189912080208,-0.0915406367256582,0.3504271263401209,0.8086850503244986,-2.9495956172222964,19,0.2864326908962342,0.0,0.0,0.0,0.0,0,0.0,2.676426408646958,4.215764031426966,8.794820899069533,0.0856087439387249,0,1.2548257409454904,1.6641162591797298,2.242243869492966,7.990469815375483,0.0,0,0.9427415510329245,1.1315039690773565,0.4923944552356425,3.928911825112739,0.3612312553731009,0,0.4592090932312786,1.2297472664653208,0.6192241624067845,3.9570871221744106,0.3941346263467848,0,0.4064319126130471,28.621440884815456,368.8763797567258,0,29.78067869565228,465.5465799554286,3,0.0,0.0,0,29.25319757281581,328.60146246614755,0,29.986372226361187,275.06486899689804,17,26.518781437860657,427.427709105554,0,27.09466142313341,442.1466946080874,0,Bounce,Bounce-1-29may
-0.516278192890185,5.596544536056091,6.598890376060549,-6.027954773373565,29,2.3792638571149216,-0.0017483394513301,0.0222847549484667,0.2678527936381494,-0.3879559463464104,23,0.114133237693408,0.0,0.0,0.0,0.0,0,0.0,2.13279719986593,2.4077773792362005,6.808601866092191,0.2823199422638582,0,1.2787236492877383,0.92434118618355,0.2391069380068964,2.519848980738809,0.1087375457712626,0,0.4506230825672891,0.3165685149688169,0.0428947440731539,1.169852545391439,0.0781330540664451,0,0.13399650361303,0.3584427780079255,0.0369169552759809,1.18484893611225,0.1140411947224074,0,0.1200271638179003,35.48466376041174,419.51372972964,11,36.429768837855214,581.6892476837504,12,0.0,0.0,0,35.56469976359825,431.9994959403263,11,35.99691257873001,481.6392232589394,11,35.976698047005584,582.0529608082978,5,36.022084993204366,584.0080751989308,5,Bounce,Bounce-1-29may
-0.0625080296076796,2.6312484685377697,5.820186340463433,-4.084970407894869,29,1.1647069788681312,-0.0158957568184675,0.0166213618849693,0.2372829830711509,-0.3879559463464104,23,0.0964419910158934,0.0,0.0,0.0,0.0,0,0.0,1.171826825212114,1.8088431662656697,5.93190166807963,0.107541797139273,0,0.6582403142124305,0.5883283187312416,0.2007353416280406,1.823681666537696,0.0870631159918884,0,0.2079197651118032,0.1670158083448822,0.0150124349219529,0.857763236238332,0.0,0,0.0739002169904985,0.206995146816624,0.0169337613232128,0.860653004443331,0.0,0,0.0732602636109791,34.818296833568866,377.8279049340666,10,34.27296578491573,541.5316571137809,12,0.0,0.0,0,34.49064464188194,395.1401689413256,11,33.840584987352095,443.170913858702,11,32.94153956408267,556.539033027939,0,33.216534696448726,552.7681475892268,0,Bounce,Bounce-1-29may
-0.4926502819564503,7.573026601034344,7.233124114444311,-7.628369783221915,18,2.727444756454801,-0.0028566597865248,0.061365400688688,0.6711734000449995,-0.6865163424924334,15,0.1508274132875475,0.0,0.0,0.0,0.0,0,0.0,2.418856601295237,4.061156679386405,7.865077767578354,0.2468500739205542,0,1.607151414755152,1.0206809963132644,1.054503339434799,4.15208980696526,0.0,0,0.780466330866265,0.4337621309715823,0.1565431920594927,2.238367198300008,0.0,0,0.1977752476412967,0.4912578912184748,0.1647320238339018,2.262654995854453,0.0,0,0.2026939014963741,30.735214654784286,312.3030221633129,19,31.44188404423793,436.65847615561006,10,0.0,0.0,0,30.820010632035466,319.3380678065599,19,31.112545740940227,357.0089765607168,6,31.042014441325925,497.3214000730435,1,31.08564423653925,490.5993239338838,1,Bounce,Bounce-1-29may
-0.2177156321268623,3.3997635687745,5.685412776092884,-7.628369783221915,24,1.4530508774676565,0.0042308634901721,0.069973411096249,0.6711734000449995,-0.6865163424924334,23,0.1828490879510102,0.0,0.0,0.0,0.0,0,0.0,1.665837391154149,2.5546554304106297,7.865077767578354,0.2267993868059368,0,0.9915012349199966,1.0619515227402632,0.7547649422806303,4.15208980696526,0.1623377312645767,0,0.6993958023089073,0.4232501933111063,0.1499631252862445,2.238367198300008,0.0,0,0.1876912766246505,0.4926673786162241,0.1563740167736728,2.262654995854453,0.0,0,0.1794190146372368,33.47886099393539,404.9919725171184,12,33.90784967459927,464.6506753439267,10,0.0,0.0,0,33.572693436804755,413.9611172894486,12,33.807051468273656,427.4361618987136,10,33.12065378440885,582.0521251530853,2,33.21333207178689,568.9875537541611,10,Bounce,Bounce-1-29may
