acc_z_mean,acc_z_var,acc_z_max,acc_z_min,acc_z_ZCR,acc_z_MCR,acc_z_IQR,acc_z_MAD,acc_z_RMS,acc_z_SMA,acc_z_range,acc_z_skew,acc_z_energy,acc_z_entropy,gyro_z_mean,gyro_z_var,gyro_z_max,gyro_z_min,gyro_z_ZCR,gyro_z_MCR,gyro_z_IQR,gyro_z_MAD,gyro_z_RMS,gyro_z_SMA,gyro_z_range,gyro_z_skew,gyro_z_energy,gyro_z_entropy,motor_input_mean,motor_input_var,motor_input_max,motor_input_min,motor_input_ZCR,motor_input_MCR,motor_input_IQR,motor_input_MAD,motor_input_RMS,motor_input_SMA,motor_input_range,motor_input_skew,motor_input_energy,motor_input_entropy,acc_xyz_mean,acc_xyz_var,acc_xyz_max,acc_xyz_min,acc_xyz_ZCR,acc_xyz_MCR,acc_xyz_IQR,acc_xyz_MAD,acc_xyz_RMS,acc_xyz_SMA,acc_xyz_range,acc_xyz_skew,acc_xyz_energy,acc_xyz_entropy,acc_xy_mean,acc_xy_var,acc_xy_max,acc_xy_min,acc_xy_ZCR,acc_xy_MCR,acc_xy_IQR,acc_xy_MAD,acc_xy_RMS,acc_xy_SMA,acc_xy_range,acc_xy_skew,acc_xy_energy,acc_xy_entropy,gyro_xy_mean,gyro_xy_var,gyro_xy_max,gyro_xy_min,gyro_xy_ZCR,gyro_xy_MCR,gyro_xy_IQR,gyro_xy_MAD,gyro_xy_RMS,gyro_xy_SMA,gyro_xy_range,gyro_xy_skew,gyro_xy_energy,gyro_xy_entropy,gyro_xyz_mean,gyro_xyz_var,gyro_xyz_max,gyro_xyz_min,gyro_xyz_ZCR,gyro_xyz_MCR,gyro_xyz_IQR,gyro_xyz_MAD,gyro_xyz_RMS,gyro_xyz_SMA,gyro_xyz_range,gyro_xyz_skew,gyro_xyz_energy,gyro_xyz_entropy,acc_z_spectral_centroid,acc_z_spectral_var,acc_z_dominant_freq,acc_z_spectral_entropy,gyro_z_spectral_centroid,gyro_z_spectral_var,gyro_z_dominant_freq,gyro_z_spectral_entropy,motor_input_spectral_centroid,motor_input_spectral_var,motor_input_dominant_freq,motor_input_spectral_entropy,acc_xyz_spectral_centroid,acc_xyz_spectral_var,acc_xyz_dominant_freq,acc_xyz_spectral_entropy,acc_xy_spectral_centroid,acc_xy_spectral_var,acc_xy_dominant_freq,acc_xy_spectral_entropy,gyro_xy_spectral_centroid,gyro_xy_spectral_var,gyro_xy_dominant_freq,gyro_xy_spectral_entropy,gyro_xyz_spectral_centroid,gyro_xyz_spectral_var,gyro_xyz_dominant_freq,gyro_xyz_spectral_entropy,class,group
-0.456257273516392,6.477124426999029,7.276399537037542,-7.115284427178519,22,2.3056829254632096,1.3191787290578223,1.6362617176525354,2.585593766745975,1.8082044724619413,14.39168396421606,0.3182983710165181,467.9706588644948,-1440.9985146599518,0.0001278465677789,0.0901927101051014,1.152116954001289,-1.0946710232057044,21,0.2029341782772446,0.2372013165200524,0.1876003721998308,0.3003210389730403,0.1876093173309889,2.2467879772069934,0.2996378641231225,6.313490851489247,5.399161516951158,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.7808898457023505,5.748871050353564,8.523608130767226,0.3237266664286049,0,1.488570097480138,3.182741735296026,2.01432398594258,3.671814181611593,2.7808898457023505,8.19988146433862,1.063694122696072,943.7553568998808,-3292.4441254094854,1.8023327067278927,3.5485210719072766,8.359461171676577,0.0496741458168721,0,1.1164881461974483,2.2908182571505744,1.4897255275442332,2.607091148703545,1.8023327067278927,8.309787025859704,1.4860072658775625,475.7846980353859,-1450.9718069891917,0.8507776065050575,0.7348493878617641,4.305782918005964,0.0536909904515071,0,0.5426446080230586,1.0331057894169262,0.6815557638426543,1.2077549103987275,0.8507776065050575,4.252091927554457,1.6899736402661352,102.10703465145669,-153.95617375711018,0.912968423959822,0.7153533068944031,4.328777291389567,0.110912747254942,0,0.505535958490915,1.007280965011196,0.666868107644741,1.244533908755436,0.912968423959822,4.217864544134625,1.6687152049060847,108.4205255029459,-160.02698402753543,34.13512696256414,376.2326100291304,20,4.056793892198736,34.99791023089744,468.9233796496462,10,4.054730655565396,0.0,0.0,0,-0.0,34.397900425095585,344.89822034594306,30,4.15089853586584,34.71446921848677,302.34782026541745,30,4.109978307629471,34.28967214022636,539.2224677159966,1,4.055663574269706,34.32652782916455,533.2063475339567,1,4.088693748773423,Bounce,Bounce-1-29may
-0.139098035386452,3.67581908465138,8.159344075491578,-3.86956479652986,27,1.646967299622937,1.3219780529228582,1.2598698646508932,1.922281807670184,1.293631956106438,12.02890887202144,1.665788145675258,269.7472164112818,-713.8251270907853,-0.0110528097951713,0.0970184959349331,0.5739320782158802,-0.8175940361840143,22,0.2361064525329818,0.4040890072137414,0.2572283951951261,0.3116739651291095,0.2567582647222223,1.3915261143998945,-0.3200645222937859,7.091268219369001,12.033453450541897,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.3347042636393307,3.161536219460083,8.876421852387173,0.2763179831442018,0,1.193563213809136,1.7530773014805523,1.3072356680629449,2.934685710278999,2.3347042636393307,8.600103869242972,1.7761953558954788,628.7037559224501,-1887.8565344966112,1.668099943027343,2.134655450088176,8.848117582787483,0.0968972336189239,0,1.074303886359255,1.56091665641565,1.0541935421557322,2.217478944661257,1.668099943027343,8.751220349168559,2.15028712738436,358.95653951116816,-942.6689198174454,0.5557746836909059,0.1603278649805576,2.435679637338446,0.0160453724180343,0,0.3142515223026958,0.4391200730020879,0.288018828112297,0.6849915065256534,0.5557746836909059,2.419634264920412,1.9013502769633357,34.25257557289675,-0.817418647004492,0.6465697804963937,0.1483015435004307,2.528268649917394,0.1190742986072904,0,0.2993324906447697,0.4224229558860299,0.2725991886388169,0.7525649636752868,0.6465697804963937,2.4091943513101035,2.024010955648412,41.34384379226575,-1.604693301241047,36.15614698897094,466.96522848917385,10,4.165732222253135,36.31021784222303,594.7124313228653,8,4.041639603920999,0.0,0.0,0,-0.0,36.278357266010126,441.8868399855041,10,4.2403822033129845,36.41197876966336,419.8894227935506,8,4.217141840026703,35.988283414316065,543.8371967096322,1,4.178165234274406,36.03873005586082,556.390874481512,1,4.190398332024561,Bounce,Bounce-1-29may
-0.7505949884454133,4.742679010642552,6.69511329751771,-7.207424272754438,24,1.8982119880422248,1.1967338366715945,1.3696737358506383,2.303491230137836,1.66468971898056,13.902537570272148,0.3519821411202217,397.9553885491441,-1127.0878576332043,-0.0054124804958998,0.1216923653352656,1.0241955238952312,-1.807619207055352,24,0.2308152077790052,0.2241814287975888,0.2151480339821527,0.3488863142635207,0.2134112434228321,2.831814730950583,-1.703317450221191,9.12912452102881,4.03421732263182,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.502934836597552,4.054105192934228,7.8479808532738815,0.4405843365196112,0,1.03549560163554,2.1704819374214024,1.6019151966269496,3.2122870340596656,2.502934836597552,7.40739651675427,1.2895543121170392,773.9090991890882,-2469.093725616762,1.5625403459882077,2.571183809024972,5.965269908512223,0.051771803495581,0,0.6986844192142727,1.894703268242225,1.2693233282011334,2.238909587693509,1.5625403459882077,5.913498105016642,1.2751600695642702,375.953710639944,-1007.22985248158,0.6078347528581967,0.240299778819439,2.220692725951981,0.0666374660199753,0,0.2960031593796863,0.529502738063093,0.3719197401351535,0.7808731430915166,0.6078347528581967,2.1540552599320053,1.4060412362509251,45.73221492012181,-16.522557578557468,0.6666967026241334,0.287000032592116,2.3921991957645874,0.0672939113288573,0,0.2899109833091097,0.5269095144192837,0.3955932119395061,0.8552686863682127,0.6666967026241334,2.32490528443573,1.5057204654325484,54.86133944115062,-30.26216717079677,35.93754085513208,497.7483003854784,0,4.212935601836166,37.42179244172285,573.6122791260294,69,4.145130556737255,0.0,0.0,0,-0.0,36.41599355969886,424.1315223862621,0,4.270015870417843,37.15931515634613,329.1102719955832,24,4.21184227863149,37.35076581745611,538.5037157819581,1,4.225066408611391,37.36247258904712,549.7572268529792,1,4.2338584368627945,Bounce,Bounce-1-29may
-0.3023548589804743,4.2818597806866,6.69511329751771,-7.207424272754438,27,1.7323437574339495,1.6591011515055525,1.385241990511448,2.0912384468146388,1.4161508601161092,13.902537570272148,0.5505930667154618,327.99586810767767,-890.7644563629133,-0.0034350568842548,0.10363159718088,0.5740989581199246,-1.807619207055352,24,0.2060876781843457,0.2450275857448797,0.2019234519824562,0.3219369453739009,0.2011527664645156,2.3817181651752763,-2.637361288094969,7.773254759750856,3.990514013362603,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.17012833648008,3.4672601819830726,7.8479808532738815,0.1233285700314472,0,1.1257707359716835,2.2047018950711195,1.4841333250639563,2.8594959658612686,2.17012833648008,7.724652283242435,1.3051557370796585,613.2537884082653,-1848.9356543014887,1.3976743210360445,1.849945429657602,5.965269908512223,0.0789280476380047,0,0.832432559712074,1.1699053894533906,1.0163667243011798,1.950240738304164,1.3976743210360445,5.886341860874218,1.665404982785292,285.2579203005877,-696.155447336933,0.5259756022027776,0.155791116344753,2.220692725951981,0.0417583892514732,0,0.2199533615107062,0.2829770715907376,0.2724211066871636,0.6576028059986725,0.5259756022027776,2.1789343367005074,2.079412135534957,32.43310878429957,-0.9514514788403576,0.5878991112133514,0.1904594822885572,2.3843669000649603,0.1021616075750958,0,0.2036752597801877,0.3245626587299976,0.2951898378566691,0.7321781526746107,0.5878991112133514,2.2822052924898646,2.3218773461933773,40.206363544050426,-10.516611900498807,36.781836869682245,557.8671152658109,9,4.157909508932446,37.44730184147289,593.5906495714182,68,4.170999292274077,0.0,0.0,0,-0.0,36.91751512590344,484.65373509713663,55,4.251711635601798,37.01615412422125,402.8224845601656,55,4.209427991081096,36.71910551778095,609.1621943222476,1,4.194430018977938,36.81518684386033,611.8554942059518,74,4.21293276975177,Bounce,Bounce-1-29may
-0.8227969510924746,3.683359961216044,6.638643184339935,-6.415311711178781,22,1.5479804251770322,1.365559462960239,1.218821170127652,2.0881462554004964,1.5010741892179225,13.053954895518716,0.7864869730645113,292.1437705241887,-761.8913765158799,0.0181488101580607,0.0337617602957544,0.5134458918335488,-0.4753027857793817,23,0.1256055619526934,0.1999797267289881,0.1359903707374365,0.1846378607055112,0.136026228159862,0.9887486776129306,-0.0175878530367705,2.284106353595821,5.534348384912728,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.0204889702879667,2.8611528253934093,7.3619483729113,0.0856087439387249,0,1.051750460446402,1.622440191805275,1.2228755056246845,2.6350575903476456,2.0204889702879667,7.276339628972575,1.6720388796170724,465.2164097980656,-1339.5064661713757,1.1233866669696395,1.3211761169804666,6.589619593264838,0.0,0,0.9380376366042924,1.1284853020161685,0.8099459328269166,1.6072254728275128,1.1233866669696395,6.589619593264838,2.3479586462693414,173.0726392738767,-380.6399921624067,0.8572815944799405,0.1558614114673962,2.1650968121920764,0.0480164262208518,0,0.3631183630485262,0.5081695008891419,0.3132431783915118,0.9438183849138908,0.8572815944799405,2.1170803859712244,0.5774065446459478,59.68314062799817,-13.63029929541797,0.8777238145578138,0.1544851886654536,2.189414949305621,0.1394837556959211,0,0.3539407869790513,0.5007987172600479,0.3141511066585732,0.961709042958094,0.8777238145578138,2.0499311936097,0.6276635257663524,61.967246981594,-15.78251577504786,31.72427976071986,400.28253802041735,0,4.110506271073701,33.03793962968884,502.3428550415529,4,4.049594946277898,0.0,0.0,0,-0.0,32.13953303531655,371.2557217005772,0,4.142193079399749,33.39298793722438,311.34069895522936,23,4.066306246930385,31.291394414514052,553.9852299013838,1,3.9334064954106434,31.372441693339603,553.2945116835168,1,3.950806012118753,Bounce,Bounce-1-29may
-0.9469401278033548,5.4707999531262805,6.273018131293324,-8.078718538290103,22,1.902189912080208,1.7239686684517912,1.5619159009355672,2.523389696176656,1.7963574321088354,14.351736669583428,-0.4418906171630783,388.4172290850014,-1171.3070222841443,-0.0915406367256582,0.3504271263401209,0.8086850503244986,-2.9495956172222964,19,0.2864326908962342,0.3047332481277862,0.3197581576744508,0.5990048534964135,0.3075683433306847,3.758280667546795,-3.33793439487081,21.88721568524785,-27.410370680771244,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.676426408646958,4.215764031426966,8.794820899069533,0.0856087439387249,0,1.2548257409454904,2.461204352484288,1.6050633017096465,3.3732806512844165,2.676426408646958,8.709212155130809,1.2345552027458844,694.1203634921188,-2237.1596861177027,1.6641162591797298,2.242243869492966,7.990469815375483,0.0,0,0.9427415510329245,1.8937408392688817,1.164555638838454,2.2386439631078683,1.6641162591797298,7.990469815375483,1.6337827616480938,305.7031344071175,-794.2350930113266,1.1315039690773565,0.4923944552356425,3.928911825112739,0.3612312553731009,0,0.4592090932312786,0.6267885516661668,0.4932693040535164,1.3314261854393032,1.1315039690773565,3.567680569739638,1.9965833734472136,108.1344369236807,-133.3235473541825,1.2297472664653208,0.6192241624067845,3.9570871221744106,0.3941346263467848,0,0.4064319126130471,0.6829473922232179,0.5802333973665696,1.4599666098187705,1.2297472664653208,3.5629524958276257,1.6421602552412045,130.02165260892852,-185.13728458816985,28.621440884815456,368.8763797567258,0,3.820078752370647,29.78067869565228,465.5465799554286,3,3.8783765886966246,0.0,0.0,0,-0.0,29.25319757281581,328.60146246614755,0,4.016036559578279,29.986372226361187,275.06486899689804,17,4.008256239991719,26.518781437860657,427.427709105554,0,3.83469208231812,27.09466142313341,442.1466946080874,0,3.879784429183378,Bounce,Bounce-1-29may
-0.516278192890185,5.596544536056091,6.598890376060549,-6.027954773373565,29,2.3792638571149216,1.8670673761637049,1.6499008437015492,2.4213813637075106,1.834238070672297,12.626845149434114,0.7386816272000928,428.0054027212333,-1151.7749783199552,-0.0017483394513301,0.0222847549484667,0.2678527936381494,-0.3879559463464104,23,0.114133237693408,0.2524256299573666,0.1257256456863927,0.1492910300028231,0.125701695830895,0.6558087399845598,-0.1787006353981587,1.6270102496691814,5.322407067773169,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.13279719986593,2.4077773792362005,6.808601866092191,0.2823199422638582,0,1.2787236492877383,1.5143385933129117,1.198440717120406,2.6375369713033696,2.13279719986593,6.526281923828333,1.3311547617522044,507.8318930744272,-1370.4886012118966,0.92434118618355,0.2391069380068964,2.519848980738809,0.1087375457712626,0,0.4506230825672891,0.6371815323772482,0.3876971745548917,1.0457119902162877,0.92434118618355,2.4111114349675464,0.6099678064320199,79.82649035319393,-41.2577644987011,0.3165685149688169,0.0428947440731539,1.169852545391439,0.0781330540664451,0,0.13399650361303,0.2117362301701626,0.1531434887061795,0.3782993110523941,0.3165685149688169,1.091719491324994,1.699822008969203,10.447056918218276,13.14130245077447,0.3584427780079255,0.0369169552759809,1.18484893611225,0.1140411947224074,0,0.1200271638179003,0.1781323701031706,0.1376697056102883,0.4066917510621772,0.3584427780079255,1.0708077413898427,1.8444971970120647,12.074067167887456,15.47269403248008,35.48466376041174,419.51372972964,11,4.169341557668382,36.429768837855214,581.6892476837504,12,3.9257976871278593,0.0,0.0,0,-0.0,35.56469976359825,431.9994959403263,11,4.194598172299203,35.99691257873001,481.6392232589394,11,4.16859304909183,35.976698047005584,582.0529608082978,5,4.109455191621557,36.022084993204366,584.0080751989308,5,4.121666828781191,Bounce,Bounce-1-29may
-0.0625080296076796,2.6312484685377697,5.820186340463433,-4.084970407894869,29,1.1647069788681312,0.7999859502310154,0.9255083230648948,1.623316273035912,0.9236995988247816,9.9051567483583,1.2485492242790588,184.46090056122424,-463.6259996863413,-0.0158957568184675,0.0166213618849693,0.2372829830711509,-0.3879559463464104,23,0.0964419910158934,0.1342659629930167,0.0995056309288904,0.1299001038098168,0.099796225332676,0.6252389294175613,-0.2703891324303568,1.1811825878860829,3.8644796284986582,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.171826825212114,1.8088431662656697,5.93190166807963,0.107541797139273,0,0.6582403142124305,1.3276684251309687,0.9953951723919704,1.7838220972261702,1.171826825212114,5.824359870940357,1.875886535959908,222.7414892186661,-551.3956898710536,0.5883283187312416,0.2007353416280406,1.823681666537696,0.0870631159918884,0,0.2079197651118032,0.7053869760048938,0.376219453251688,0.7395035850144136,0.5883283187312416,1.7366185505458072,0.9559765576331456,38.2805886574419,-5.586869852191447,0.1670158083448822,0.0150124349219529,0.857763236238332,0.0,0,0.0739002169904985,0.0963181339300389,0.0772848130977124,0.2071393616844645,0.1670158083448822,0.857763236238332,3.043213713395718,3.003470061133319,6.73677617187473,0.206995146816624,0.0169337613232128,0.860653004443331,0.0,0,0.0732602636109791,0.1278200743472556,0.0889640197596409,0.2445010268462048,0.206995146816624,0.860653004443331,2.197438385051895,4.184652649019402,8.99879971708242,34.818296833568866,377.8279049340666,10,4.118996379006847,34.27296578491573,541.5316571137809,12,3.866278353402099,0.0,0.0,0,-0.0,34.49064464188194,395.1401689413256,11,4.145777576675531,33.840584987352095,443.170913858702,11,4.153469419904659,32.94153956408267,556.539033027939,0,4.079377245466668,33.216534696448726,552.7681475892268,0,4.072609910042071,Bounce,Bounce-1-29may
-0.4926502819564503,7.573026601034344,7.233124114444311,-7.628369783221915,18,2.727444756454801,1.2613132434108507,1.8203634044663448,2.7956628733354303,2.050189026118567,14.861493897666223,0.4985717927699559,492.3910467848052,-1522.8807402220305,-0.0028566597865248,0.061365400688688,0.6711734000449995,-0.6865163424924334,15,0.1508274132875475,0.1785818846221537,0.1672498701432271,0.2477368789539094,0.167657964398445,1.357689742537433,-0.3202631359669389,3.866534355210909,6.117551464622752,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.418856601295237,4.061156679386405,7.865077767578354,0.2468500739205542,0,1.607151414755152,2.351525241761127,1.6078981057804351,3.148336693718756,2.418856601295237,7.6182276936578,1.3518540605140252,624.4575080320049,-1992.132545817347,1.0206809963132644,1.054503339434799,4.15208980696526,0.0,0,0.780466330866265,1.207394748816618,0.8185328680570748,1.4478580854731025,1.0206809963132644,4.15208980696526,1.2235965244965128,132.06646124719978,-235.27179502183375,0.4337621309715823,0.1565431920594927,2.238367198300008,0.0,0,0.1977752476412967,0.3600348294794644,0.2713125866187353,0.5871054235182136,0.4337621309715823,2.238367198300008,2.306272630509224,21.71564503444356,-1.0345534972823671,0.4912578912184748,0.1647320238339018,2.262654995854453,0.0,0,0.2026939014963741,0.490492193117004,0.2946062971942426,0.6372333477764051,0.4912578912184748,2.262654995854453,1.9813083015577668,25.582179389654463,-1.3063327535878573,30.735214654784286,312.3030221633129,19,4.039476888348512,31.44188404423793,436.65847615561006,10,3.887082991674722,0.0,0.0,0,-0.0,30.820010632035466,319.3380678065599,19,4.08332638032082,31.112545740940227,357.0089765607168,6,4.059654173656664,31.042014441325925,497.3214000730435,1,3.9300835539793897,31.08564423653925,490.5993239338838,1,3.944582644268879,Bounce,Bounce-1-29may
-0.2177156321268623,3.3997635687745,5.685412776092884,-7.628369783221915,24,1.4530508774676565,1.0180440085519666,1.122543250859284,1.856653889459987,1.1334941878564326,13.3137825593148,-0.2417239674811989,234.40712923678907,-643.4063331769022,0.0042308634901721,0.069973411096249,0.6711734000449995,-0.6865163424924334,23,0.1828490879510102,0.2122639128839679,0.1872187849409392,0.2645587105013204,0.1873432221024148,1.357689742537433,-0.2106435817997295,4.759409168544259,7.457573255902552,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.665837391154149,2.5546554304106297,7.865077767578354,0.2267993868059368,0,0.9915012349199966,1.355867285764055,1.1468684679221597,2.308607728519051,1.665837391154149,7.638278380772418,1.8790157764565287,362.4175358040967,-1014.2029047170712,1.0619515227402632,0.7547649422806303,4.15208980696526,0.1623377312645767,0,0.6993958023089073,0.853597749112571,0.6443164302722436,1.372044452243073,1.0619515227402632,3.9897520757006832,1.5734570574102604,128.0104065673076,-196.47264140631364,0.4232501933111063,0.1499631252862445,2.238367198300008,0.0,0,0.1876912766246505,0.3334845481444026,0.2675084481778437,0.573675737175744,0.4232501933111063,2.238367198300008,2.340899260831588,22.37906189684107,-0.1620721766462947,0.4926673786162241,0.1563740167736728,2.262654995854453,0.0,0,0.1794190146372368,0.4481826491541679,0.2872520209833651,0.631739790361708,0.4926673786162241,2.262654995854453,1.9663441057457616,27.13847106538533,0.1168506164054057,33.47886099393539,404.9919725171184,12,4.136818528521368,33.90784967459927,464.6506753439267,10,3.851519379431805,0.0,0.0,0,-0.0,33.572693436804755,413.9611172894486,12,4.157069697739152,33.807051468273656,427.4361618987136,10,4.121495769292864,33.12065378440885,582.0521251530853,2,4.016801425836731,33.21333207178689,568.9875537541611,10,4.0340342718085065,Bounce,Bounce-1-29may
